lead_id,first_name,last_name,email,phone,county,current_vehicle_type,vehicle_year,income_band,distance_km,last_touch_date,engagements_90d
L0042,Alex,Ryan,user42@example.com,+353871564363,Wexford,ICE,2014,€40–60k,21.2,2025-08-21,3
L0043,Sam,Byrne,user43@example.com,+353878859953,Cork,HEV,2009,€60–80k,45.3,2025-08-21,1
L0044,Chris,Byrne,user44@example.com,+353883651082,Monaghan,PHEV,2017,€60–80k,31.4,2025-08-21,3
L0045,Alex,Murphy,user45@example.com,+353866835825,Meath,ICE,2006,>€80k,5.0,2025-08-21,3
L0046,Morgan,Murphy,user46@example.com,+353820831994,Roscommon,ICE,2015,>€80k,9.4,2025-08-21,5
L0047,Sam,Byrne,user47@example.com,+353824310020,Dublin,HEV,2006,€40–60k,24.4,2025-08-21,1
L0048,Sam,Kelly,user48@example.com,+353847779917,Meath,ICE,2006,<€40k,7.2,2025-08-21,2
L0049,Taylor,Byrne,user49@example.com,+353885813749,Cavan,PHEV,2016,<€40k,2.3,2025-08-21,0
L0050,Jordan,Walsh,user50@example.com,+353828046510,Cavan,ICE,2021,€40–60k,28.0,2025-08-21,2
L0051,Sam,Walsh,user51@example.com,+353873062324,Meath,ICE,2020,€40–60k,15.7,2025-08-21,3
L0052,Morgan,Kelly,user52@example.com,+353857567469,Meath,ICE,2018,<€40k,4.3,2025-08-21,2
L0053,Taylor,Kelly,user53@example.com,+353883958041,Cork,ICE,2018,<€40k,30.3,2025-08-21,1
L0054,Alex,Murphy,user54@example.com,+353870035771,Dublin,EV,2013,<€40k,31.1,2025-08-21,3
L0055,Jordan,Ryan,user55@example.com,+353874960518,Roscommon,ICE,2015,€40–60k,27.4,2025-08-21,3
L0056,Sam,O'Brien,user56@example.com,+353818317115,Cork,ICE,2020,€40–60k,47.5,2025-08-21,1
L0057,Alex,Kelly,user57@example.com,+353840059297,Roscommon,ICE,2013,€40–60k,22.6,2025-08-21,2
L0058,Taylor,Murphy,user58@example.com,+353889780093,Dublin,ICE,2014,>€80k,6.2,2025-08-21,3
L0059,Taylor,Kelly,user59@example.com,+353808961811,Wicklow,ICE,2019,<€40k,22.6,2025-08-21,4
L0060,Sam,Walsh,user60@example.com,+353807586641,Roscommon,PHEV,2009,<€40k,47.9,2025-08-21,1
L0061,Chris,Walsh,user61@example.com,+353859379752,Cavan,EV,2008,€60–80k,38.7,2025-08-21,1
L0062,Alex,Walsh,user62@example.com,+353850444651,Cavan,EV,2016,<€40k,5.6,2025-08-21,1
L0063,Morgan,Byrne,user63@example.com,+353826464385,Meath,ICE,2006,>€80k,9.6,2025-08-21,3
L0064,Morgan,O'Brien,user64@example.com,+353844068620,Wicklow,ICE,2018,€40–60k,16.1,2025-08-21,1
L0065,Chris,Murphy,user65@example.com,+353801878015,Galway,HEV,2008,€60–80k,57.7,2025-08-21,2
L0066,Chris,Murphy,user66@example.com,+353884522514,Meath,ICE,2016,<€40k,39.5,2025-08-21,1
L0067,Sam,Walsh,user67@example.com,+353871614224,Longford,ICE,2022,<€40k,47.9,2025-08-21,2
L0068,Sam,O'Brien,user68@example.com,+353847781949,Leitrim,ICE,2015,€60–80k,2.8,2025-08-21,3
L0069,Taylor,Kelly,user69@example.com,+353812495676,Kildare,EV,2022,€40–60k,17.5,2025-08-21,3
L0070,Morgan,Byrne,user70@example.com,+353849364618,Meath,HEV,2012,€60–80k,38.4,2025-08-21,0
L0071,Morgan,Byrne,user71@example.com,+353841678580,Dublin,ICE,2008,<€40k,54.6,2025-08-21,2
L0072,Chris,Walsh,user72@example.com,+353877329532,Leitrim,ICE,2010,€40–60k,53.5,2025-08-21,2
L0073,Jordan,Murphy,user73@example.com,+353830402322,Galway,EV,2010,<€40k,23.2,2025-08-21,2
L0074,Morgan,Walsh,user74@example.com,+353803643715,Roscommon,ICE,2012,>€80k,4.6,2025-08-21,0
L0075,Jordan,O'Brien,user75@example.com,+353849697763,Limerick,EV,2015,€60–80k,15.7,2025-08-21,3
L0076,Morgan,O'Brien,user76@example.com,+353829375017,Limerick,PHEV,2011,€40–60k,1.2,2025-08-21,1
L0077,Taylor,Byrne,user77@example.com,+353872587308,Roscommon,ICE,2010,€40–60k,10.4,2025-08-21,1
L0078,Chris,Walsh,user78@example.com,+353871845936,Dublin,EV,2022,€60–80k,8.2,2025-08-21,3
L0079,Chris,O'Brien,user79@example.com,+353844550245,Wexford,ICE,2021,>€80k,31.8,2025-08-21,0
L0080,Morgan,Ryan,user80@example.com,+353827121048,Monaghan,ICE,2017,€40–60k,32.7,2025-08-21,3
L0081,Chris,Byrne,user81@example.com,+353899445103,Limerick,ICE,2011,<€40k,48.3,2025-08-21,3
L0082,Taylor,Ryan,user82@example.com,+353821316932,Dublin,ICE,2017,<€40k,27.8,2025-08-21,0
L0083,Jordan,Murphy,user83@example.com,+353893364289,Monaghan,ICE,2015,€40–60k,19.8,2025-08-21,0
L0084,Morgan,O'Brien,user84@example.com,+353895677063,Cavan,HEV,2009,<€40k,31.7,2025-08-21,1
L0085,Jordan,Walsh,user85@example.com,+353850496275,Meath,EV,2020,<€40k,32.0,2025-08-21,0
L0086,Jordan,Byrne,user86@example.com,+353862184859,Monaghan,ICE,2013,>€80k,2.5,2025-08-21,1
L0087,Morgan,O'Brien,user87@example.com,+353853610678,Monaghan,ICE,2016,€40–60k,44.4,2025-08-21,0
L0088,Morgan,Ryan,user88@example.com,+353895920825,Limerick,ICE,2020,€40–60k,6.1,2025-08-21,1
L0089,Chris,Ryan,user89@example.com,+353853048329,Limerick,ICE,2013,€40–60k,24.8,2025-08-21,2
L0090,Alex,Walsh,user90@example.com,+353841141915,Leitrim,ICE,2011,€40–60k,27.5,2025-08-21,1
L0091,Alex,Kelly,user91@example.com,+353835033555,Wicklow,ICE,2011,€60–80k,38.3,2025-08-21,3
L0092,Chris,Ryan,user92@example.com,+353860504968,Limerick,ICE,2006,>€80k,23.9,2025-08-21,2
L0093,Jordan,Murphy,user93@example.com,+353830568254,Kildare,EV,2006,>€80k,2.0,2025-08-21,6
L0094,Alex,Byrne,user94@example.com,+353820496848,Roscommon,ICE,2016,€60–80k,42.0,2025-08-21,2
L0095,Alex,Kelly,user95@example.com,+353826894773,Longford,ICE,2019,<€40k,31.6,2025-08-21,3
L0096,Sam,O'Brien,user96@example.com,+353822917172,Wicklow,ICE,2017,€40–60k,32.3,2025-08-21,4
L0097,Taylor,Ryan,user97@example.com,+353816432009,Longford,ICE,2016,€60–80k,12.3,2025-08-21,2
L0098,Jordan,Ryan,user98@example.com,+353869182094,Longford,ICE,2021,€60–80k,40.0,2025-08-21,0
L0099,Sam,Murphy,user99@example.com,+353848307675,Roscommon,PHEV,2022,€40–60k,28.0,2025-08-21,2
L0100,Alex,Byrne,user100@example.com,+353837480637,Meath,ICE,2016,€40–60k,5.8,2025-08-21,3
L0101,Alex,Ryan,user101@example.com,+353896010096,Dublin,ICE,2008,>€80k,27.4,2025-08-21,2
L0102,Chris,Byrne,user102@example.com,+353859060401,Cork,ICE,2006,€40–60k,17.5,2025-08-21,5
L0103,Sam,Byrne,user103@example.com,+353894585303,Roscommon,ICE,2018,€60–80k,51.0,2025-08-21,4
L0104,Taylor,O'Brien,user104@example.com,+353816274902,Meath,ICE,2012,>€80k,17.1,2025-08-21,2
L0105,Morgan,Byrne,user105@example.com,+353827540512,Kildare,ICE,2007,>€80k,7.3,2025-08-21,2
L0106,Sam,Walsh,user106@example.com,+353886417122,Leitrim,HEV,2012,<€40k,41.1,2025-08-21,4
L0107,Sam,Walsh,user107@example.com,+353895059975,Cavan,ICE,2021,€40–60k,24.5,2025-08-21,0
L0108,Sam,Kelly,user108@example.com,+353822790187,Wexford,EV,2021,>€80k,23.0,2025-08-21,5
L0109,Taylor,Kelly,user109@example.com,+353838962205,Kildare,ICE,2013,€60–80k,5.2,2025-08-21,2
L0110,Alex,Murphy,user110@example.com,+353896637567,Limerick,PHEV,2020,€60–80k,70.0,2025-08-21,2
L0111,Morgan,Ryan,user111@example.com,+353899124527,Dublin,ICE,2021,€60–80k,34.7,2025-08-21,5
L0112,Chris,Walsh,user112@example.com,+353855396938,Limerick,HEV,2010,€40–60k,35.2,2025-08-21,4
L0113,Alex,Walsh,user113@example.com,+353816192243,Cavan,HEV,2019,€40–60k,39.8,2025-08-21,1
L0114,Chris,Kelly,user114@example.com,+353875719930,Galway,ICE,2012,>€80k,20.1,2025-08-21,1
L0115,Morgan,Ryan,user115@example.com,+353876953187,Kildare,ICE,2014,€60–80k,12.1,2025-08-21,0
L0116,Jordan,Walsh,user116@example.com,+353830351614,Wicklow,ICE,2019,€40–60k,42.0,2025-08-21,2
L0117,Chris,Ryan,user117@example.com,+353898260904,Kildare,ICE,2008,<€40k,21.8,2025-08-21,3
L0118,Sam,Ryan,user118@example.com,+353869433363,Wexford,HEV,2016,<€40k,13.7,2025-08-21,2
L0119,Jordan,Ryan,user119@example.com,+353878261387,Galway,ICE,2014,€40–60k,7.3,2025-08-21,0
L0120,Morgan,Murphy,user120@example.com,+353809520754,Kildare,ICE,2021,€40–60k,30.8,2025-08-21,0
L0121,Alex,Ryan,user121@example.com,+353816380480,Leitrim,ICE,2022,€40–60k,35.5,2025-08-21,1
L0122,Sam,Murphy,user122@example.com,+353853417822,Dublin,HEV,2006,>€80k,36.3,2025-08-21,2
L0123,Morgan,Walsh,user123@example.com,+353886071755,Monaghan,HEV,2010,<€40k,38.0,2025-08-21,2
L0124,Sam,Ryan,user124@example.com,+353889411550,Longford,PHEV,2020,€60–80k,29.2,2025-08-21,2
L0125,Taylor,Byrne,user125@example.com,+353837265369,Meath,ICE,2016,<€40k,14.6,2025-08-21,1
L0126,Jordan,Ryan,user126@example.com,+353840696417,Cork,PHEV,2011,<€40k,12.5,2025-08-21,3
L0127,Morgan,Walsh,user127@example.com,+353895475252,Wicklow,HEV,2021,>€80k,26.1,2025-08-21,0
L0128,Chris,Murphy,user128@example.com,+353871287302,Longford,ICE,2006,<€40k,8.9,2025-08-21,0
L0129,Morgan,Ryan,user129@example.com,+353830730451,Galway,HEV,2014,<€40k,8.6,2025-08-21,1
L0130,Alex,Ryan,user130@example.com,+353813281434,Monaghan,ICE,2015,€60–80k,13.5,2025-08-21,2
L0131,Jordan,Murphy,user131@example.com,+353867759646,Roscommon,EV,2009,>€80k,16.8,2025-08-21,4
L0132,Alex,Ryan,user132@example.com,+353864689920,Dublin,EV,2021,€60–80k,40.0,2025-08-21,5
L0133,Morgan,Walsh,user133@example.com,+353846629455,Limerick,ICE,2012,€60–80k,45.5,2025-08-21,1
L0134,Alex,Byrne,user134@example.com,+353860445194,Roscommon,ICE,2010,>€80k,5.8,2025-08-21,4
L0135,Taylor,Kelly,user135@example.com,+353867757333,Meath,ICE,2013,€60–80k,22.8,2025-08-21,3
L0136,Sam,Kelly,user136@example.com,+353803251524,Dublin,ICE,2010,€40–60k,17.2,2025-08-21,2
L0137,Sam,O'Brien,user137@example.com,+353866965889,Monaghan,HEV,2015,€40–60k,32.7,2025-08-21,4
L0138,Taylor,Ryan,user138@example.com,+353819187180,Dublin,ICE,2009,€60–80k,26.2,2025-08-21,0
L0139,Alex,O'Brien,user139@example.com,+353892065162,Longford,ICE,2020,€40–60k,26.9,2025-08-21,2
L0140,Sam,Byrne,user140@example.com,+353879563474,Roscommon,ICE,2008,€40–60k,16.7,2025-08-21,0
L0141,Taylor,O'Brien,user141@example.com,+353853891635,Wexford,ICE,2012,<€40k,56.5,2025-08-21,2
L0142,Jordan,Walsh,user142@example.com,+353831146938,Kildare,ICE,2007,€40–60k,16.7,2025-08-21,1
L0143,Chris,Ryan,user143@example.com,+353848113502,Meath,ICE,2020,€40–60k,24.0,2025-08-21,6
L0144,Morgan,Walsh,user144@example.com,+353871168039,Meath,HEV,2009,<€40k,12.5,2025-08-21,2
L0145,Alex,Kelly,user145@example.com,+353879935605,Roscommon,EV,2017,€40–60k,8.7,2025-08-21,4
L0146,Morgan,O'Brien,user146@example.com,+353809789689,Limerick,HEV,2015,<€40k,22.6,2025-08-21,1
L0147,Alex,Murphy,user147@example.com,+353879662829,Galway,ICE,2020,<€40k,44.2,2025-08-21,1
L0148,Sam,Walsh,user148@example.com,+353827231252,Wexford,ICE,2007,€40–60k,23.9,2025-08-21,1
L0149,Taylor,Murphy,user149@example.com,+353869882912,Longford,ICE,2013,€40–60k,15.2,2025-08-21,2
L0150,Chris,O'Brien,user150@example.com,+353801689953,Dublin,EV,2006,€40–60k,41.3,2025-08-21,1
L0151,Chris,Murphy,user151@example.com,+353802982883,Monaghan,PHEV,2013,€60–80k,38.3,2025-08-21,3
L0152,Chris,Kelly,user152@example.com,+353803695928,Meath,ICE,2008,€40–60k,25.9,2025-08-21,3
L0153,Sam,Byrne,user153@example.com,+353869473344,Kildare,ICE,2020,€40–60k,36.1,2025-08-21,0
L0154,Jordan,Byrne,user154@example.com,+353803566346,Limerick,EV,2016,<€40k,1.0,2025-08-21,7
L0155,Chris,Ryan,user155@example.com,+353844562037,Cork,ICE,2014,€40–60k,42.6,2025-08-21,4
L0156,Jordan,Ryan,user156@example.com,+353834560644,Monaghan,ICE,2015,<€40k,44.7,2025-08-21,3
L0157,Taylor,Walsh,user157@example.com,+353806792204,Meath,ICE,2006,<€40k,24.8,2025-08-21,0
L0158,Sam,Walsh,user158@example.com,+353853120100,Meath,ICE,2021,€40–60k,14.5,2025-08-21,3
L0159,Sam,O'Brien,user159@example.com,+353815795175,Cavan,HEV,2016,<€40k,20.2,2025-08-21,3
L0160,Jordan,Walsh,user160@example.com,+353854872196,Meath,ICE,2016,>€80k,23.2,2025-08-21,0
L0161,Jordan,Walsh,user161@example.com,+353822896993,Dublin,HEV,2010,€40–60k,29.1,2025-08-21,2
L0162,Sam,Ryan,user162@example.com,+353831743487,Dublin,ICE,2012,€40–60k,26.2,2025-08-21,1
L0163,Taylor,Walsh,user163@example.com,+353841678139,Monaghan,ICE,2012,<€40k,3.5,2025-08-21,2
L0164,Alex,Ryan,user164@example.com,+353814105682,Kildare,ICE,2014,€40–60k,39.1,2025-08-21,1
L0165,Alex,Walsh,user165@example.com,+353854579079,Wicklow,PHEV,2013,€40–60k,27.3,2025-08-21,5
L0166,Morgan,Kelly,user166@example.com,+353864997000,Longford,ICE,2020,<€40k,30.5,2025-08-21,2
L0167,Chris,Walsh,user167@example.com,+353828626828,Leitrim,ICE,2006,€60–80k,30.1,2025-08-21,0
L0168,Jordan,Walsh,user168@example.com,+353879712895,Kildare,ICE,2010,€40–60k,8.5,2025-08-21,0
L0169,Chris,Ryan,user169@example.com,+353890542701,Galway,ICE,2010,>€80k,30.9,2025-08-21,3
L0170,Chris,O'Brien,user170@example.com,+353882884523,Monaghan,ICE,2018,>€80k,32.5,2025-08-21,1
L0171,Alex,Ryan,user171@example.com,+353868935235,Galway,ICE,2018,€40–60k,55.0,2025-08-21,2
L0172,Jordan,Ryan,user172@example.com,+353825332710,Monaghan,PHEV,2022,€40–60k,24.5,2025-08-21,1
L0173,Taylor,Murphy,user173@example.com,+353819204255,Limerick,ICE,2009,>€80k,30.0,2025-08-21,2
L0174,Jordan,Byrne,user174@example.com,+353863652928,Longford,PHEV,2015,>€80k,33.1,2025-08-21,1
L0175,Morgan,Ryan,user175@example.com,+353830654550,Galway,ICE,2011,€60–80k,30.7,2025-08-21,0
L0176,Alex,O'Brien,user176@example.com,+353806957737,Wexford,EV,2019,<€40k,25.8,2025-08-21,6
L0177,Alex,Kelly,user177@example.com,+353817750646,Leitrim,ICE,2007,<€40k,22.5,2025-08-21,4
L0178,Sam,Walsh,user178@example.com,+353810372234,Meath,ICE,2018,€60–80k,19.0,2025-08-21,1
L0179,Chris,Byrne,user179@example.com,+353897897909,Roscommon,ICE,2011,€60–80k,29.2,2025-08-21,2
L0180,Chris,Byrne,user180@example.com,+353874852191,Meath,ICE,2011,€60–80k,53.5,2025-08-21,2
L0181,Taylor,Kelly,user181@example.com,+353807617689,Galway,ICE,2021,€60–80k,14.3,2025-08-21,3
L0182,Sam,Byrne,user182@example.com,+353896415337,Wicklow,EV,2006,<€40k,27.4,2025-08-21,1
L0183,Jordan,Murphy,user183@example.com,+353871218058,Cork,ICE,2016,<€40k,50.1,2025-08-21,0
L0184,Jordan,Kelly,user184@example.com,+353876480716,Longford,EV,2010,€40–60k,5.8,2025-08-21,4
L0185,Sam,Kelly,user185@example.com,+353855698573,Leitrim,ICE,2007,>€80k,14.5,2025-08-21,0
L0186,Jordan,Walsh,user186@example.com,+353810841549,Meath,ICE,2020,€40–60k,26.0,2025-08-21,1
L0187,Sam,Kelly,user187@example.com,+353857460497,Monaghan,ICE,2013,<€40k,27.3,2025-08-21,4
L0188,Jordan,Kelly,user188@example.com,+353832081924,Monaghan,ICE,2006,>€80k,18.8,2025-08-21,3
L0189,Sam,O'Brien,user189@example.com,+353800086793,Monaghan,ICE,2006,€40–60k,24.3,2025-08-21,1
L0190,Chris,Walsh,user190@example.com,+353859927717,Leitrim,ICE,2008,€40–60k,43.3,2025-08-21,1
L0191,Sam,Byrne,user191@example.com,+353806159117,Galway,ICE,2017,€60–80k,16.8,2025-08-21,1
L0192,Chris,Walsh,user192@example.com,+353807495968,Roscommon,ICE,2008,€40–60k,3.8,2025-08-21,2
L0193,Sam,Murphy,user193@example.com,+353874761368,Dublin,ICE,2021,>€80k,26.5,2025-08-21,2
L0194,Taylor,O'Brien,user194@example.com,+353881380181,Galway,ICE,2022,<€40k,21.9,2025-08-21,1
L0195,Chris,O'Brien,user195@example.com,+353859044862,Limerick,EV,2021,<€40k,22.9,2025-08-21,1
L0196,Morgan,Walsh,user196@example.com,+353893164419,Dublin,ICE,2011,€40–60k,2.0,2025-08-21,2
L0197,Alex,Walsh,user197@example.com,+353860012881,Cork,ICE,2016,€40–60k,11.7,2025-08-21,1
L0198,Chris,Walsh,user198@example.com,+353827230813,Limerick,ICE,2022,€40–60k,3.6,2025-08-21,1
L0199,Sam,Kelly,user199@example.com,+353876392714,Meath,ICE,2016,€60–80k,4.3,2025-08-21,5
L0200,Alex,Kelly,user200@example.com,+353884217801,Roscommon,ICE,2012,<€40k,25.6,2025-08-21,2
